gcs_ts,local_ts,sync_off_ms,event,seq,lat,lon,rel_alt,vn,ve,vd,heading,local_x,local_y,local_z,fc_mode,fc_armed,fc_connected,fc_sys_status,batt_v,batt_a,batt_pct,peer_id,peer_lat,peer_lon,peer_alt,peer_vn,peer_ve,peer_vd,peer_hdg,peer_fc_mode,peer_armed,peer_fc_conn,peer_batt_v,peer_guid,peer_alive,peer_hb_ts,peer_stamp,peer_age_s,rssi,remrssi,noise,remnoise,txbuf,rxerrors,radio_alive,gcs_cmd,gcs_lat,gcs_lon,dist_m,hz_gps,hz_vel,hz_peer
1772712506.917446,1772712506.917446,0.00,PEER,1,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37433700,77.06960060,5.530,-0.0087,0.0011,-0.0033,7.4,4,False,True,0.00,0,True,1772712506.842,1772712506.842,0.0754,0,0,0,0,0,0,False,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772712507.016908,1772712507.016908,0.00,PEER,2,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37435210,77.06965320,4.265,-0.0061,0.0272,0.0212,12.9,4,False,True,0.00,0,True,1772712506.954,1772712506.954,0.0632,0,0,0,0,0,0,False,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772712507.116767,1772712507.116767,0.00,PEER,3,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37433690,77.06960060,5.542,-0.0097,0.0021,-0.0041,7.4,4,False,True,0.00,0,True,1772712507.027,1772712507.027,0.0896,0,0,0,0,0,0,False,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772712507.216611,1772712507.216611,0.00,PEER,4,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37433690,77.06960060,5.542,-0.0097,0.0021,-0.0041,7.4,4,False,True,0.00,0,True,1772712507.027,1772712507.027,0.1894,0,0,0,0,0,0,False,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772712507.317118,1772712507.317118,0.00,PEER,5,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37433690,77.06960060,5.542,-0.0097,0.0021,-0.0041,7.4,4,False,True,0.00,0,True,1772712507.027,1772712507.027,0.2899,0,0,0,0,0,0,False,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772712507.416983,1772712507.416983,0.00,PEER,6,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37435210,77.06965320,4.267,0.0012,0.0240,0.0212,12.8,4,False,True,0.00,0,True,1772712507.382,1772712507.382,0.0353,0,0,0,0,0,0,False,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772712507.479481,1772712507.479481,0.00,STATE,1,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37435210,77.06965320,4.267,0.0012,0.0240,0.0212,12.8,4,False,True,0.00,0,True,1772712507.382,1772712507.382,0.0978,0,0,0,0,0,0,False,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772712507.508331,1772712507.508331,0.00,GPS,1,28.37435210,77.06965330,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37435210,77.06965320,4.267,0.0012,0.0240,0.0212,12.8,4,False,True,0.00,0,True,1772712507.382,1772712507.382,0.1266,0,0,0,0,0,0,False,0,0.0000000,0.0000000,4.267,0.0,0.0,0.0
1772712507.509776,1772712507.509776,0.00,ALT,1,28.37435210,77.06965330,4.271,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37435210,77.06965320,4.267,0.0012,0.0240,0.0212,12.8,4,False,True,0.00,0,True,1772712507.382,1772712507.382,0.1281,0,0,0,0,0,0,False,0,0.0000000,0.0000000,0.011,0.0,0.0,0.0
1772712507.510153,1772712507.510153,0.00,HDG,1,28.37435210,77.06965330,4.271,0.0000,0.0000,0.0000,12.7,0.0000,0.0000,0.0000,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37435210,77.06965320,4.267,0.0012,0.0240,0.0212,12.8,4,False,True,0.00,0,True,1772712507.382,1772712507.382,0.1284,0,0,0,0,0,0,False,0,0.0000000,0.0000000,0.011,0.0,0.0,0.0
1772712507.511561,1772712507.511561,0.00,VEL,1,28.37435210,77.06965330,4.271,-0.0013,0.0056,0.0163,12.7,0.0000,0.0000,0.0000,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37435210,77.06965320,4.267,0.0012,0.0240,0.0212,12.8,4,False,True,0.00,0,True,1772712507.382,1772712507.382,0.1299,0,0,0,0,0,0,False,0,0.0000000,0.0000000,0.011,0.0,0.0,0.0
1772712507.513018,1772712507.513018,0.00,POSE,1,28.37435210,77.06965330,4.271,-0.0013,0.0056,0.0163,12.7,-3.3483,-3.8876,7.0515,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37435210,77.06965320,4.267,0.0012,0.0240,0.0212,12.8,4,False,True,0.00,0,True,1772712507.382,1772712507.382,0.1313,0,0,0,0,0,0,False,0,0.0000000,0.0000000,0.011,0.0,0.0,0.0
1772712507.517435,1772712507.517435,0.00,PEER,7,28.37435210,77.06965330,4.271,-0.0013,0.0056,0.0163,12.7,-3.3483,-3.8876,7.0515,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37433680,77.06960060,5.553,-0.0107,0.0006,-0.0045,7.4,4,False,True,0.00,0,True,1772712507.422,1772712507.422,0.0952,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.585,0.0,0.0,0.0
1772712507.608135,1772712507.608135,0.00,GPS,2,28.37435210,77.06965320,4.271,-0.0013,0.0056,0.0163,12.7,-3.3483,-3.8876,7.0515,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37433680,77.06960060,5.553,-0.0107,0.0006,-0.0045,7.4,4,False,True,0.00,0,True,1772712507.422,1772712507.422,0.1859,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.576,0.0,0.0,0.0
1772712507.609655,1772712507.609655,0.00,ALT,2,28.37435210,77.06965320,4.273,-0.0013,0.0056,0.0163,12.7,-3.3483,-3.8876,7.0515,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37433680,77.06960060,5.553,-0.0107,0.0006,-0.0045,7.4,4,False,True,0.00,0,True,1772712507.422,1772712507.422,0.1874,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.575,0.0,0.0,0.0
1772712507.610024,1772712507.610024,0.00,HDG,2,28.37435210,77.06965320,4.273,-0.0013,0.0056,0.0163,12.8,-3.3483,-3.8876,7.0515,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37433680,77.06960060,5.553,-0.0107,0.0006,-0.0045,7.4,4,False,True,0.00,0,True,1772712507.422,1772712507.422,0.1878,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.575,0.0,0.0,0.0
1772712507.611339,1772712507.611339,0.00,VEL,2,28.37435210,77.06965320,4.273,0.0047,-0.0131,0.0181,12.8,-3.3483,-3.8876,7.0515,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37433680,77.06960060,5.553,-0.0107,0.0006,-0.0045,7.4,4,False,True,0.00,0,True,1772712507.422,1772712507.422,0.1891,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.575,0.0,0.0,0.0
1772712507.611946,1772712507.611946,0.00,POSE,2,28.37435210,77.06965320,4.273,0.0047,-0.0131,0.0181,12.8,-3.3509,-3.8871,7.0538,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37433680,77.06960060,5.553,-0.0107,0.0006,-0.0045,7.4,4,False,True,0.00,0,True,1772712507.422,1772712507.422,0.1897,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.575,0.0,0.0,0.0
1772712507.616926,1772712507.616926,0.00,PEER,8,28.37435210,77.06965320,4.273,0.0047,-0.0131,0.0181,12.8,-3.3509,-3.8871,7.0538,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37433670,77.06960060,5.551,0.0040,0.0352,0.0181,7.4,4,False,True,0.00,0,True,1772712507.560,1772712507.560,0.0569,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.578,0.0,0.0,0.0
1772712507.708031,1772712507.708031,0.00,GPS,3,28.37435210,77.06965320,4.273,0.0047,-0.0131,0.0181,12.8,-3.3509,-3.8871,7.0538,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37433670,77.06960060,5.551,0.0040,0.0352,0.0181,7.4,4,False,True,0.00,0,True,1772712507.560,1772712507.560,0.1480,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.578,0.0,0.0,0.0
1772712507.709510,1772712507.709510,0.00,ALT,3,28.37435210,77.06965320,4.276,0.0047,-0.0131,0.0181,12.8,-3.3509,-3.8871,7.0538,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37433670,77.06960060,5.551,0.0040,0.0352,0.0181,7.4,4,False,True,0.00,0,True,1772712507.560,1772712507.560,0.1495,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.577,0.0,0.0,0.0
1772712507.709890,1772712507.709890,0.00,HDG,3,28.37435210,77.06965320,4.276,0.0047,-0.0131,0.0181,12.8,-3.3509,-3.8871,7.0538,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37433670,77.06960060,5.551,0.0040,0.0352,0.0181,7.4,4,False,True,0.00,0,True,1772712507.560,1772712507.560,0.1498,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.577,0.0,0.0,0.0
1772712507.711218,1772712507.711218,0.00,VEL,3,28.37435210,77.06965320,4.276,-0.0060,-0.0011,0.0158,12.8,-3.3509,-3.8871,7.0538,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37433670,77.06960060,5.551,0.0040,0.0352,0.0181,7.4,4,False,True,0.00,0,True,1772712507.560,1772712507.560,0.1512,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.577,0.0,0.0,0.0
1772712507.711888,1772712507.711888,0.00,POSE,3,28.37435210,77.06965320,4.276,-0.0060,-0.0011,0.0158,12.8,-3.3529,-3.8867,7.0562,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37433670,77.06960060,5.551,0.0040,0.0352,0.0181,7.4,4,False,True,0.00,0,True,1772712507.560,1772712507.560,0.1518,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.577,0.0,0.0,0.0
1772712507.717257,1772712507.717257,0.00,PEER,9,28.37435210,77.06965320,4.276,-0.0060,-0.0011,0.0158,12.8,-3.3529,-3.8867,7.0562,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37435210,77.06965330,4.271,-0.0115,0.0007,-0.0031,12.7,4,False,True,0.00,0,True,1772712507.678,1772712507.678,0.0391,0,0,0,0,0,0,False,0,0.0000000,0.0000000,0.011,0.0,0.0,0.0
1772712507.807587,1772712507.807587,0.00,GPS,4,28.37435210,77.06965320,4.276,-0.0060,-0.0011,0.0158,12.8,-3.3529,-3.8867,7.0562,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37435210,77.06965330,4.271,-0.0115,0.0007,-0.0031,12.7,4,False,True,0.00,0,True,1772712507.678,1772712507.678,0.1294,0,0,0,0,0,0,False,0,0.0000000,0.0000000,0.011,0.0,0.0,0.0
1772712507.809081,1772712507.809081,0.00,ALT,4,28.37435210,77.06965320,4.278,-0.0060,-0.0011,0.0158,12.8,-3.3529,-3.8867,7.0562,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37435210,77.06965330,4.271,-0.0115,0.0007,-0.0031,12.7,4,False,True,0.00,0,True,1772712507.678,1772712507.678,0.1309,0,0,0,0,0,0,False,0,0.0000000,0.0000000,0.012,0.0,0.0,0.0
1772712507.809467,1772712507.809467,0.00,HDG,4,28.37435210,77.06965320,4.278,-0.0060,-0.0011,0.0158,12.8,-3.3529,-3.8867,7.0562,GUIDED,False,True,5,0.00,0.00,-1.000,2,28.37435210,77.06965330,4.271,-0.0115,0.0007,-0.0031,12.7,4,False,True,0.00,0,True,1772712507.678,1772712507.678,0.1313,0,0,0,0,0,0,False,0,0.0000000,0.0000000,0.012,0.0,0.0,0.0
