gcs_ts,local_ts_fol,sync_off_ms_fol,event_fol,seq_fol,lat_fol,lon_fol,rel_alt_fol,vn_fol,ve_fol,vd_fol,heading_fol,local_x_fol,local_y_fol,local_z_fol,fc_mode_fol,fc_armed_fol,fc_connected_fol,fc_sys_status_fol,batt_v_fol,batt_a_fol,batt_pct_fol,ldr_sysid,ldr_lat,ldr_lon,ldr_alt,ldr_vn,ldr_ve,ldr_vd,ldr_hdg,ldr_fc_mode,ldr_armed,ldr_fc_conn,ldr_batt_v,ldr_guid,ldr_alive,ldr_hb_ts,ldr_stamp,ldr_data_age_s,rssi_fol,remrssi_fol,noise_fol,remnoise_fol,txbuf_fol,rxerrors_fol,radio_alive_fol,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_rate,cmd_type_mask,gcs_cmd_fol,gcs_lat_fol,gcs_lon_fol,mission,guid_mode,dist_m_fol,hz_gps_fol,hz_vel_fol,hz_peer_fol,hz_cmd,local_ts_ldr,sync_off_ms_ldr,event_ldr,seq_ldr,lat_ldr,lon_ldr,rel_alt_ldr,vn_ldr,ve_ldr,vd_ldr,heading_ldr,local_x_ldr,local_y_ldr,local_z_ldr,fc_mode_ldr,fc_armed_ldr,fc_connected_ldr,fc_sys_status_ldr,batt_v_ldr,batt_a_ldr,batt_pct_ldr,peer_id,peer_lat,peer_lon,peer_alt,peer_vn,peer_ve,peer_vd,peer_hdg,peer_fc_mode,peer_armed,peer_fc_conn,peer_batt_v,peer_guid,peer_alive,peer_hb_ts,peer_stamp,peer_age_s,rssi_ldr,remrssi_ldr,noise_ldr,remnoise_ldr,txbuf_ldr,rxerrors_ldr,radio_alive_ldr,gcs_cmd_ldr,gcs_lat_ldr,gcs_lon_ldr,dist_m_ldr,hz_gps_ldr,hz_vel_ldr,hz_peer_ldr,true_dist_3d_m,true_dist_horiz_m
1772707812.075711,1772707813.667474,-1591.77,GPS,1,28.3743276,77.0696894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.238,0.0,-0.02,0.0,13.0,4,False,True,0.0,0,True,1772707813.461,1772707813.47,0.1978,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,4.238,0.0,0.0,9.0,0.0,1772707812.058184,0.0,GPS,3.0,28.3743277,77.0696889,4.233,-0.1254,0.1253,-0.069,13.2,0.1387,-6.611,7.0139,GUIDED,False,True,5.0,0.0,0.0,-1.0,2.0,28.3743278,77.0696889,4.233,-0.08,0.26,-0.02,13.2,4.0,False,True,0.0,0.0,True,1772707811.182,1772707811.985,0.0729,248.0,248.0,111.0,111.0,95.0,2.0,True,0.0,0.0,0.0,0.011,10.0,10.0,11.0,4.233297920720731,0.050222361339019174
1772707812.179959,1772707813.771724,-1591.77,GPS,2,28.3743276,77.0696894,4.228,-0.0144,-0.016,-0.0013,13.0,0.1949,-6.6235,7.0081,?,False,False,0,0.0,0.0,-1.0,1,28.3743276,77.0696895,4.234,-0.04,0.01,0.0,13.0,4,False,True,0.0,0,True,1772707813.461,1772707813.612,0.16,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,0.011,0.0,0.0,9.0,0.0,1772707812.158091,0.0,GPS,4.0,28.3743276,77.0696889,4.242,-0.1061,-0.008,-0.0621,13.2,0.1447,-6.621,7.0225,GUIDED,False,True,5.0,0.0,0.0,-1.0,2.0,28.3743278,77.0696889,4.233,-0.08,0.26,-0.02,13.2,4.0,False,True,0.0,0.0,True,1772707811.182,1772707811.985,0.1728,248.0,248.0,111.0,111.0,95.0,2.0,True,0.0,0.0,0.0,0.024,10.0,10.0,11.0,0.05093490124558653,0.048973096337659165
1772707812.292045,1772707813.883809,-1591.77,GPS,3,28.3743404,77.0696188,4.225,-0.0085,-0.0243,-0.0021,13.0,0.1931,-6.6237,7.0057,?,False,False,0,0.0,0.0,-1.0,1,28.3743404,77.0696187,4.561,0.0,-0.02,0.0,7.1,4,False,True,0.0,0,True,1772707813.461,1772707813.724,0.1594,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,0.336,0.0,0.0,9.0,0.0,1772707812.258069,0.0,GPS,5.0,28.3743276,77.0696888,4.246,-0.0538,-0.0506,-0.008,13.3,0.1414,-6.6265,7.0269,GUIDED,False,True,5.0,0.0,0.0,-1.0,1.0,28.3743278,77.0696892,4.248,0.02,-0.13,-0.02,11.8,4.0,False,True,0.0,0.0,True,1772707809.439,1772707809.966,2.2921,248.0,248.0,115.0,108.0,93.0,2.0,True,0.0,0.0,0.0,0.045,10.0,10.0,11.0,7.002764273625314,7.002732785988844
1772707812.392128,1772707813.983894,-1591.77,GPS,4,28.3743404,77.0696188,4.589,-0.0085,-0.0243,-0.0021,7.0,0.1931,-6.6237,7.0057,?,False,False,0,0.0,0.0,-1.0,1,28.3743404,77.0696187,4.56,0.0,-0.02,0.0,7.1,4,False,True,0.0,0,True,1772707813.461,1772707813.879,0.1053,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,0.031,0.0,0.0,9.0,0.0,1772707812.358167,0.0,GPS,6.0,28.3743276,77.0696888,4.249,-0.0289,-0.0624,-0.0231,13.4,0.1357,-6.6264,7.03,GUIDED,False,True,5.0,0.0,0.0,-1.0,2.0,28.3743276,77.0696889,4.246,-0.05,-0.05,0.0,13.3,4.0,False,True,0.0,0.0,True,1772707812.139,1772707812.251,0.1076,248.0,248.0,111.0,111.0,95.0,2.0,True,0.0,0.0,0.0,0.01,10.0,10.0,11.0,7.010981847927084,7.002732785988844
1772707812.491158,1772707814.082923,-1591.77,GPS,5,28.3743404,77.0696188,4.594,0.001,-0.0048,-0.0062,7.0,-4.499,-3.8339,4.5943,?,False,False,0,0.0,0.0,-1.0,1,28.3743404,77.0696187,4.56,0.0,-0.02,0.0,7.1,4,False,True,0.0,0,True,1772707813.461,1772707813.879,0.2043,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,0.035,0.0,0.0,9.0,0.0,1772707812.457999,0.0,GPS,7.0,28.3743276,77.0696889,4.251,-0.049,-0.0297,-0.0232,13.4,0.1324,-6.6266,7.0319,GUIDED,False,True,5.0,0.0,0.0,-1.0,2.0,28.3743276,77.0696888,4.251,-0.04,-0.02,-0.02,13.4,4.0,False,True,0.0,0.0,True,1772707812.139,1772707812.411,0.047,248.0,248.0,111.0,111.0,95.0,2.0,True,0.0,0.0,0.0,0.01,10.0,10.0,11.0,7.020706503733033,7.0123227828986385
1772707812.586094,1772707814.177862,-1591.77,GPS,6,28.3743276,77.0696894,4.598,0.0005,-0.0042,-0.0061,7.0,-4.4988,-3.8351,4.598,GUIDED,False,True,3,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.223,0.0,-0.02,0.0,13.0,4,False,True,0.0,0,True,1772707813.461,1772707813.993,0.1853,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,0.375,0.0,0.0,9.0,0.0,1772707812.558111,0.0,GPS,8.0,28.3743276,77.069689,4.252,-0.0347,0.0809,-0.0445,13.4,0.1374,-6.6289,7.0326,GUIDED,False,True,5.0,0.0,0.0,-1.0,2.0,28.3743404,77.0696187,4.56,0.0,-0.02,0.0,7.1,4.0,False,True,0.0,0.0,True,1772707812.139,1772707812.519,0.039,248.0,248.0,111.0,111.0,95.0,2.0,True,0.0,0.0,0.0,7.038,10.0,10.0,11.0,0.3482110755119092,0.03917847762688698
1772707812.594314,1772707814.186081,-1591.77,GPS,7,28.3743404,77.0696188,4.598,0.0005,-0.0042,-0.0061,7.0,-4.4988,-3.8351,4.598,GUIDED,False,True,3,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.223,0.0,-0.02,0.0,13.0,4,False,True,0.0,0,True,1772707813.461,1772707813.993,0.1935,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,7.07,0.0,0.0,9.0,0.0,1772707812.558111,0.0,GPS,8.0,28.3743276,77.069689,4.252,-0.0347,0.0809,-0.0445,13.4,0.1374,-6.6289,7.0326,GUIDED,False,True,5.0,0.0,0.0,-1.0,2.0,28.3743404,77.0696187,4.56,0.0,-0.02,0.0,7.1,4.0,False,True,0.0,0.0,True,1772707812.139,1772707812.519,0.039,248.0,248.0,111.0,111.0,95.0,2.0,True,0.0,0.0,0.0,7.038,10.0,10.0,11.0,7.030432632575364,7.02191334332606
1772707812.691888,1772707814.283653,-1591.77,GPS,8,28.3743404,77.0696188,4.599,-0.007,-0.0259,0.0002,7.0,0.1911,-6.6239,7.0032,GUIDED,False,True,3,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.223,0.0,-0.02,0.0,13.0,4,False,True,0.0,0,True,1772707813.461,1772707814.164,0.1199,248,247,114,105,96,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,7.07,0.0,0.0,9.0,0.0,1772707812.664472,0.0,GPS,9.0,28.3743275,77.0696892,4.253,-0.0544,0.1445,-0.0386,13.3,0.1509,-6.6314,7.0333,GUIDED,False,True,5.0,0.0,0.0,-1.0,2.0,28.3743404,77.0696187,4.56,0.0,-0.02,0.0,7.1,4.0,False,True,0.0,0.0,True,1772707812.139,1772707812.519,0.1453,248.0,248.0,111.0,118.0,93.0,2.0,True,0.0,0.0,0.0,7.06,10.0,10.0,11.0,7.051850743098464,7.0433573601613
1772707812.704525,1772707814.296289,-1591.77,GPS,9,28.3743276,77.0696894,4.598,0.0003,-0.0029,-0.0048,7.0,-4.4973,-3.8369,4.5987,GUIDED,False,True,3,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.215,-0.02,0.0,0.0,13.1,4,False,True,0.0,0,True,1772707813.461,1772707814.261,0.035,248,247,114,105,96,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,0.383,0.0,0.0,9.0,0.0,1772707812.664472,0.0,GPS,9.0,28.3743275,77.0696892,4.253,-0.0544,0.1445,-0.0386,13.3,0.1509,-6.6314,7.0333,GUIDED,False,True,5.0,0.0,0.0,-1.0,2.0,28.3743404,77.0696187,4.56,0.0,-0.02,0.0,7.1,4.0,False,True,0.0,0.0,True,1772707812.139,1772707812.519,0.1453,248.0,248.0,111.0,118.0,93.0,2.0,True,0.0,0.0,0.0,7.06,10.0,10.0,11.0,0.3457349558620154,0.022531304997934
1772707812.719391,1772707814.311161,-1591.77,GPS,10,28.3743276,77.0696894,4.22,-0.0097,-0.0192,0.0009,13.1,0.1896,-6.6239,7.0002,GUIDED,False,True,3,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.215,-0.02,0.0,0.0,13.1,4,False,True,0.0,0,True,1772707813.461,1772707814.261,0.0499,248,247,114,105,96,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,0.005,0.0,0.0,9.0,0.0,1772707812.758876,0.0,GPS,10.0,28.3743275,77.0696893,4.253,-0.039,0.1563,-0.0295,13.2,0.1669,-6.6347,7.0336,GUIDED,False,True,5.0,0.0,0.0,-1.0,2.0,28.3743276,77.069689,4.253,-0.05,0.14,-0.03,13.3,4.0,False,True,0.0,0.0,True,1772707812.139,1772707812.665,0.0937,248.0,248.0,111.0,118.0,93.0,2.0,True,0.0,0.0,0.0,0.031,10.0,10.0,11.0,0.036178115070203215,0.014827542278909233
