gcs_ts,local_ts_fol,sync_off_ms_fol,event_fol,seq_fol,lat_fol,lon_fol,rel_alt_fol,vn_fol,ve_fol,vd_fol,heading_fol,local_x_fol,local_y_fol,local_z_fol,fc_mode_fol,fc_armed_fol,fc_connected_fol,fc_sys_status_fol,batt_v_fol,batt_a_fol,batt_pct_fol,ldr_sysid,ldr_lat,ldr_lon,ldr_alt,ldr_vn,ldr_ve,ldr_vd,ldr_hdg,ldr_fc_mode,ldr_armed,ldr_fc_conn,ldr_batt_v,ldr_guid,ldr_alive,ldr_hb_ts,ldr_stamp,ldr_data_age_s,rssi_fol,remrssi_fol,noise_fol,remnoise_fol,txbuf_fol,rxerrors_fol,radio_alive_fol,cmd_vn,cmd_ve,cmd_vd,cmd_yaw_rate,cmd_type_mask,gcs_cmd_fol,gcs_lat_fol,gcs_lon_fol,mission,guid_mode,dist_m_fol,hz_gps_fol,hz_vel_fol,hz_peer_fol,hz_cmd,local_ts_ldr,sync_off_ms_ldr,event_ldr,seq_ldr,lat_ldr,lon_ldr,rel_alt_ldr,vn_ldr,ve_ldr,vd_ldr,heading_ldr,local_x_ldr,local_y_ldr,local_z_ldr,fc_mode_ldr,fc_armed_ldr,fc_connected_ldr,fc_sys_status_ldr,batt_v_ldr,batt_a_ldr,batt_pct_ldr,peer_id,peer_lat,peer_lon,peer_alt,peer_vn,peer_ve,peer_vd,peer_hdg,peer_fc_mode,peer_armed,peer_fc_conn,peer_batt_v,peer_guid,peer_alive,peer_hb_ts,peer_stamp,peer_age_s,rssi_ldr,remrssi_ldr,noise_ldr,remnoise_ldr,txbuf_ldr,rxerrors_ldr,radio_alive_ldr,gcs_cmd_ldr,gcs_lat_ldr,gcs_lon_ldr,dist_m_ldr,hz_gps_ldr,hz_vel_ldr,hz_peer_ldr,true_dist_3d_m,true_dist_horiz_m
1772712514.798253,1772712514.798253,0.0,GPS,1,28.3743346,77.0696011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,?,0,-1.0,0.0,0.0,0.0,0.0,1772712516.407111,-1638.56,GPS,8.0,28.3743519,77.0696499,4.273,-0.0138,0.01,-0.0057,12.6,-3.6829,-3.9242,7.0538,GUIDED,False,True,3.0,0.0,0.0,-1.0,1.0,28.374352,77.0696502,4.269,-0.0002,-0.0395,0.0207,12.6,4.0,False,True,0.0,0.0,True,1772712516.082,1772712516.082,0.3256,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.032,20.0,19.0,19.0,6.694296406371698,5.153161687387756
1772712514.901331,1772712514.901331,0.0,GPS,2,28.3743346,77.0696011,5.58,-0.0091,-0.002,-0.0017,7.4,-6.2237,-4.4819,5.5804,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,?,0,-1.0,0.0,0.0,0.0,0.0,1772712516.51257,-1638.56,GPS,11.0,28.3743519,77.0696498,5.606,-0.0134,0.0096,-0.0047,7.4,-6.1925,-4.5399,5.6067,GUIDED,False,True,5.0,0.0,0.0,-1.0,1.0,28.3743519,77.0696502,4.27,-0.0006,-0.0404,0.021,12.6,4.0,False,True,0.0,0.0,True,1772712516.23,1772712516.23,0.2824,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.337,20.0,19.0,19.0,5.144143777984443,5.144078071780799
1772712514.999296,1772712514.999296,0.0,GPS,3,28.3743345,77.0696011,5.575,-0.009,-0.0024,-0.0003,7.4,-6.2235,-4.4845,5.5755,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,?,0,-1.0,0.0,0.0,0.0,0.0,1772712516.654406,-1638.56,GPS,13.0,28.374334,77.0696014,4.272,-0.0036,-0.0303,0.0215,12.6,-3.698,-3.9279,7.0524,GUIDED,False,True,5.0,0.0,0.0,-1.0,2.0,28.3743341,77.0696014,5.606,-0.0134,0.0096,-0.0047,7.4,4.0,False,True,0.0,0.0,True,1772712516.509,1772712516.509,0.1453,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.334,20.0,19.0,19.0,1.3045192396293652,0.0629400235396953
1772712515.098372,1772712515.098372,0.0,GPS,4,28.3743345,77.0696011,5.575,-0.0092,-0.0023,-0.0003,7.4,-6.2223,-4.4881,5.5755,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,?,0,-1.0,0.0,0.0,0.0,0.0,1772712516.708218,-1638.56,GPS,14.0,28.3743519,77.0696497,5.608,-0.0036,-0.0303,0.0215,7.4,-6.1919,-4.5426,5.6086,GUIDED,False,True,5.0,0.0,0.0,-1.0,2.0,28.3743341,77.0696014,5.606,-0.0134,0.0096,-0.0047,7.4,4.0,False,True,0.0,0.0,True,1772712516.509,1772712516.509,0.1991,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,5.129,20.0,19.0,19.0,5.139288341565553,5.1391823919522075
1772712515.198276,1772712515.198276,0.0,GPS,5,28.3743345,77.0696011,5.578,-0.0093,-0.002,-0.001,7.4,-6.2215,-4.4909,5.5787,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,?,0,-1.0,0.0,0.0,0.0,0.0,1772712516.807425,-1638.56,GPS,16.0,28.3743518,77.0696497,5.61,-0.0139,0.0107,-0.0049,7.4,-6.189,-4.5465,5.6106,GUIDED,False,True,5.0,0.0,0.0,-1.0,1.0,28.3743519,77.0696501,4.27,0.0002,-0.0432,0.0208,12.6,4.0,False,True,0.0,0.0,True,1772712516.474,1772712516.474,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.341,20.0,19.0,19.0,5.13509678251947,5.134997075543647
1772712515.316906,1772712515.316906,0.0,GPS,6,28.3743344,77.0696012,5.582,-0.0096,-0.0009,-0.0015,7.4,-6.2197,-4.4947,5.5821,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,?,0,-1.0,0.0,0.0,0.0,0.0,1772712516.946771,-1638.56,GPS,1.0,28.3743339,77.0696015,5.609,-0.014,0.0116,-0.0046,7.4,-6.1866,-4.5497,5.6098,GUIDED,False,True,3.0,0.0,0.0,-1.0,2.0,28.374334,77.0696015,5.61,-0.0139,0.0107,-0.0049,7.4,4.0,False,True,0.0,0.0,True,1772712516.794,1772712516.794,0.1529,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.011,18.0,18.0,23.0,0.068486835571546,0.0629400242024419
1772712515.398888,1772712515.398888,0.0,GPS,1,28.3743344,77.0696012,5.586,-0.0096,0.0,-0.0018,7.4,-6.2183,-4.4978,5.5863,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,?,0,-1.0,5.8,5.8,0.0,0.0,1772712517.012366,-1638.56,GPS,3.0,28.3743518,77.0696496,5.607,-0.0147,0.012,-0.0035,7.4,-6.1827,-4.557,5.6073,GUIDED,False,True,3.0,0.0,0.0,-1.0,2.0,28.374334,77.0696015,5.61,-0.0139,0.0107,-0.0049,7.4,4.0,False,True,0.0,0.0,True,1772712516.794,1772712516.794,0.2185,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,5.111,18.0,18.0,23.0,5.121086187156132,5.121043129703296
1772712515.499955,1772712515.499955,0.0,GPS,2,28.3743344,77.0696012,5.593,-0.0101,0.0018,-0.0036,7.4,-6.2154,-4.5023,5.5939,?,False,False,0,0.0,0.0,-1.0,2,28.374352,77.0696507,4.264,-0.0007,-0.0232,0.021,12.6,4,False,True,0.0,0,True,1772712515.25,1772712515.25,0.2504,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,?,0,5.395,5.8,5.8,0.0,0.0,1772712517.125818,-1638.56,GPS,5.0,28.3743339,77.0696015,4.27,-0.0056,-0.0332,0.0221,12.5,-3.72,-3.9343,7.0502,GUIDED,False,True,3.0,0.0,0.0,-1.0,2.0,28.3743339,77.0696015,5.607,-0.0147,0.012,-0.0035,7.4,4.0,False,True,0.0,0.0,True,1772712517.043,1772712517.043,0.0831,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.337,18.0,18.0,23.0,1.3244962992196714,0.0629400242024419
1772712515.598489,1772712515.598489,0.0,GPS,3,28.3743343,77.0696012,5.6,-0.0108,0.0031,-0.0049,7.4,-6.2131,-4.5058,5.6005,?,False,False,0,0.0,0.0,-1.0,2,28.374352,77.0696507,4.264,-0.0007,-0.0232,0.021,12.6,4,False,True,0.0,0,True,1772712515.25,1772712515.25,0.349,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,?,0,5.401,5.8,5.8,0.0,0.0,1772712517.263547,-1638.56,GPS,8.0,28.3743338,77.0696016,4.267,-0.0059,-0.0331,0.0226,12.5,-3.726,-3.9355,7.0475,GUIDED,False,True,3.0,0.0,0.0,-1.0,2.0,28.3743338,77.0696016,5.608,-0.0157,0.0123,-0.0033,7.4,4.0,False,True,0.0,0.0,True,1772712517.195,1772712517.195,0.0683,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.341,18.0,18.0,23.0,1.334736673864218,0.0680660602511805
1772712515.608065,1772712517.600021,-1991.96,GPS,3,28.3743337,77.0696016,5.594,-0.0151,0.0113,0.0001,7.4,-6.175,-4.5784,5.594,GUIDED,False,True,3,0.0,0.0,-1.0,1,28.3743518,77.0696495,4.267,-0.0059,-0.0331,0.0226,12.5,4,False,True,0.0,0,True,1772712517.55,1772712517.55,0.0502,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,5.276,10.0,10.0,14.0,0.0,1772712517.263547,-1638.56,GPS,8.0,28.3743338,77.0696016,4.267,-0.0059,-0.0331,0.0226,12.5,-3.726,-3.9355,7.0475,GUIDED,False,True,3.0,0.0,0.0,-1.0,2.0,28.3743338,77.0696016,5.608,-0.0157,0.0123,-0.0033,7.4,4.0,False,True,0.0,0.0,True,1772712517.195,1772712517.195,0.0683,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,1.341,18.0,18.0,23.0,1.327046691498868,0.01113199973460155
