gcs_ts,local_ts,sync_off_ms,event,seq,lat,lon,rel_alt,vn,ve,vd,heading,local_x,local_y,local_z,fc_mode,fc_armed,fc_connected,fc_sys_status,batt_v,batt_a,batt_pct,peer_id,peer_lat,peer_lon,peer_alt,peer_vn,peer_ve,peer_vd,peer_hdg,peer_fc_mode,peer_armed,peer_fc_conn,peer_batt_v,peer_guid,peer_alive,peer_hb_ts,peer_stamp,peer_age_s,rssi,remrssi,noise,remnoise,txbuf,rxerrors,radio_alive,gcs_cmd,gcs_lat,gcs_lon,dist_m,hz_gps,hz_vel,hz_peer
1772715622.729094,1772715622.729094,0.00,PEER,1,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962780,4.852,-0.0046,0.0430,0.0004,6.7,4,False,True,0.00,0,True,1772715622.638,1772715622.638,0.0908,0,0,0,0,0,0,False,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772715622.828374,1772715622.828374,0.00,PEER,2,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962790,4.852,-0.0041,0.0424,0.0006,6.7,4,False,True,0.00,0,True,1772715622.738,1772715622.738,0.0905,0,0,0,0,0,0,False,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772715622.927653,1772715622.927653,0.00,PEER,3,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962800,4.854,-0.0031,0.0419,0.0003,6.7,4,False,True,0.00,0,True,1772715622.839,1772715622.839,0.0883,0,0,0,0,0,0,False,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772715622.975305,1772715622.975305,0.00,GPS,1,28.37435010,77.06965380,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962800,4.854,-0.0031,0.0419,0.0003,6.7,4,False,True,0.00,0,True,1772715622.839,1772715622.839,0.1359,0,0,0,0,0,0,False,0,0.0000000,0.0000000,5.472,0.0,0.0,0.0
1772715622.976952,1772715622.976952,0.00,ALT,1,28.37435010,77.06965380,3.254,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962800,4.854,-0.0031,0.0419,0.0003,6.7,4,False,True,0.00,0,True,1772715622.839,1772715622.839,0.1376,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.991,0.0,0.0,0.0
1772715622.977308,1772715622.977308,0.00,HDG,1,28.37435010,77.06965380,3.254,0.0000,0.0000,0.0000,9.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962800,4.854,-0.0031,0.0419,0.0003,6.7,4,False,True,0.00,0,True,1772715622.839,1772715622.839,0.1379,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.991,0.0,0.0,0.0
1772715622.979192,1772715622.979192,0.00,VEL,1,28.37435010,77.06965380,3.254,0.0293,-0.0109,0.0096,9.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962800,4.854,-0.0031,0.0419,0.0003,6.7,4,False,True,0.00,0,True,1772715622.839,1772715622.839,0.1398,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.991,0.0,0.0,0.0
1772715622.979720,1772715622.979720,0.00,POSE,1,28.37435010,77.06965380,3.254,0.0293,-0.0109,0.0096,9.0,-3.3031,-4.1177,6.0350,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962800,4.854,-0.0031,0.0419,0.0003,6.7,4,False,True,0.00,0,True,1772715622.839,1772715622.839,0.1404,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.991,0.0,0.0,0.0
1772715623.027559,1772715623.027559,0.00,PEER,4,28.37435010,77.06965380,3.254,0.0293,-0.0109,0.0096,9.0,-3.3031,-4.1177,6.0350,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962800,4.855,-0.0026,0.0413,0.0003,6.7,4,False,True,0.00,0,True,1772715622.939,1772715622.939,0.0886,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.992,0.0,0.0,0.0
1772715623.077503,1772715623.077503,0.00,GPS,2,28.37435010,77.06965380,3.254,0.0293,-0.0109,0.0096,9.0,-3.3031,-4.1177,6.0350,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962800,4.855,-0.0026,0.0413,0.0003,6.7,4,False,True,0.00,0,True,1772715622.939,1772715622.939,0.1386,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.992,0.0,0.0,0.0
1772715623.077901,1772715623.077901,0.00,ALT,2,28.37435010,77.06965380,3.250,0.0293,-0.0109,0.0096,9.0,-3.3031,-4.1177,6.0350,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962800,4.855,-0.0026,0.0413,0.0003,6.7,4,False,True,0.00,0,True,1772715622.939,1772715622.939,0.1390,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.994,0.0,0.0,0.0
1772715623.079248,1772715623.079248,0.00,VEL,2,28.37435010,77.06965380,3.250,0.0293,0.0302,0.0076,9.0,-3.3031,-4.1177,6.0350,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962800,4.855,-0.0026,0.0413,0.0003,6.7,4,False,True,0.00,0,True,1772715622.939,1772715622.939,0.1403,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.994,0.0,0.0,0.0
1772715623.079580,1772715623.079580,0.00,HDG,2,28.37435010,77.06965380,3.250,0.0293,0.0302,0.0076,9.1,-3.3031,-4.1177,6.0350,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962800,4.855,-0.0026,0.0413,0.0003,6.7,4,False,True,0.00,0,True,1772715622.939,1772715622.939,0.1406,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.994,0.0,0.0,0.0
1772715623.080070,1772715623.080070,0.00,POSE,2,28.37435010,77.06965380,3.250,0.0293,0.0302,0.0076,9.1,-3.3055,-4.1151,6.0300,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962800,4.855,-0.0026,0.0413,0.0003,6.7,4,False,True,0.00,0,True,1772715622.939,1772715622.939,0.1411,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.994,0.0,0.0,0.0
1772715623.127233,1772715623.127233,0.00,PEER,5,28.37435010,77.06965380,3.250,0.0293,0.0302,0.0076,9.1,-3.3055,-4.1151,6.0300,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962810,4.854,-0.0020,0.0401,0.0007,6.7,4,False,True,0.00,0,True,1772715623.039,1772715623.039,0.0879,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.985,0.0,0.0,0.0
1772715623.175577,1772715623.175577,0.00,GPS,3,28.37435010,77.06965370,3.250,0.0293,0.0302,0.0076,9.1,-3.3055,-4.1151,6.0300,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962810,4.854,-0.0020,0.0401,0.0007,6.7,4,False,True,0.00,0,True,1772715623.039,1772715623.039,0.1362,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.977,0.0,0.0,0.0
1772715623.176556,1772715623.176556,0.00,ALT,3,28.37435010,77.06965370,3.244,0.0293,0.0302,0.0076,9.1,-3.3055,-4.1151,6.0300,?,False,False,0,0.00,0.00,-1.000,2,28.37434990,77.06962810,4.854,-0.0020,0.0401,0.0007,6.7,4,False,True,0.00,0,True,1772715623.039,1772715623.039,0.1372,0,0,0,0,0,0,False,0,0.0000000,0.0000000,2.980,0.0,0.0,0.0
