gcs_ts,fol_local_ts,fol_sync_off_ms,fol_event,fol_seq,fol_lat,fol_lon,fol_rel_alt,fol_vn,fol_ve,fol_vd,fol_heading,fol_local_x,fol_local_y,fol_local_z,fol_fc_mode,fol_fc_armed,fol_fc_connected,fol_fc_sys_status,fol_batt_v,fol_batt_a,fol_batt_pct,fol_ldr_sysid,fol_ldr_lat,fol_ldr_lon,fol_ldr_alt,fol_ldr_vn,fol_ldr_ve,fol_ldr_vd,fol_ldr_hdg,fol_ldr_fc_mode,fol_ldr_armed,fol_ldr_fc_conn,fol_ldr_batt_v,fol_ldr_guid,fol_ldr_alive,fol_ldr_hb_ts,fol_ldr_stamp,fol_ldr_data_age_s,fol_rssi,fol_remrssi,fol_noise,fol_remnoise,fol_txbuf,fol_rxerrors,fol_radio_alive,fol_cmd_vn,fol_cmd_ve,fol_cmd_vd,fol_cmd_yaw_rate,fol_cmd_type_mask,fol_gcs_cmd,fol_gcs_lat,fol_gcs_lon,fol_mission,fol_guid_mode,fol_dist_m,fol_hz_gps,fol_hz_vel,fol_hz_peer,fol_hz_cmd,ldr_local_ts,ldr_sync_off_ms,ldr_event,ldr_seq,ldr_lat,ldr_lon,ldr_rel_alt,ldr_vn,ldr_ve,ldr_vd,ldr_heading,ldr_local_x,ldr_local_y,ldr_local_z,ldr_fc_mode,ldr_fc_armed,ldr_fc_connected,ldr_fc_sys_status,ldr_batt_v,ldr_batt_a,ldr_batt_pct,ldr_peer_id,ldr_peer_lat,ldr_peer_lon,ldr_peer_alt,ldr_peer_vn,ldr_peer_ve,ldr_peer_vd,ldr_peer_hdg,ldr_peer_fc_mode,ldr_peer_armed,ldr_peer_fc_conn,ldr_peer_batt_v,ldr_peer_guid,ldr_peer_alive,ldr_peer_hb_ts,ldr_peer_stamp,ldr_peer_age_s,ldr_rssi,ldr_remrssi,ldr_noise,ldr_remnoise,ldr_txbuf,ldr_rxerrors,ldr_radio_alive,ldr_gcs_cmd,ldr_gcs_lat,ldr_gcs_lon,ldr_dist_m,ldr_hz_gps,ldr_hz_vel,ldr_hz_peer,true_dist_m
1772707810.860759,1772707810.860759,0.0,MISSION,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707810.859646,0.0,HDG,1,28.3743277,77.0696886,4.256,-0.0062,-0.1148,-0.0056,13.0,0.1088,-6.6078,7.0324,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743404,77.0696191,4.519,0.0,-0.03,0.0,7.1,4,False,True,0.0,0,True,1772707810.114,1772707810.8,0.0597,247,248,102,116,94,2,True,0,0.0,0.0,6.957,10.0,10.0,10.0,-1.0
1772707810.906607,1772707810.906607,0.0,MISSION,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707810.864849,0.0,VEL,1,28.3743277,77.0696886,4.256,0.0054,-0.1289,-0.0039,13.0,0.0991,-6.6072,7.0368,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743404,77.0696191,4.519,0.0,-0.03,0.0,7.1,4,False,True,0.0,0,True,1772707810.114,1772707810.8,0.065,247,248,102,116,94,2,True,0,0.0,0.0,6.957,10.0,10.0,10.0,-1.0
1772707811.006768,1772707811.006768,0.0,MISSION,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707813.791761,-2814.91,PEER,15,28.3743276,77.0696894,4.225,-0.0085,-0.0243,-0.0021,13.0,0.1931,-6.6237,7.0057,GUIDED,False,True,5,0.0,0.0,-1.0,1,28.3743279,77.069688,4.251,0.02,-0.03,-0.02,13.7,4,False,True,0.0,0,True,1772707811.466,1772707811.577,2.2145,247,248,109,103,95,2,True,0,0.0,0.0,0.144,10.0,10.0,11.0,-1.0
1772707811.106843,1772707811.106843,0.0,MISSION,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707811.06359,0.0,POSE,3,28.3743277,77.0696883,4.26,0.0372,-0.1351,-0.0013,13.4,0.0737,-6.6016,7.0407,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743404,77.069619,4.522,0.0,-0.03,0.0,7.1,4,False,True,0.0,0,True,1772707810.114,1772707810.908,0.1552,247,248,102,116,94,2,True,0,0.0,0.0,6.938,10.0,10.0,10.0,-1.0
1772707811.206892,1772707811.206892,0.0,MISSION,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707814.021575,-2814.91,PEER,2,28.3743276,77.0696894,4.223,-0.007,-0.0259,0.0002,13.0,0.1911,-6.6239,7.0032,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743404,77.0696188,4.225,0.0,-0.02,0.0,13.0,4,False,True,0.0,0,True,1772707813.207,1772707814.015,0.0071,247,247,108,115,95,2,True,0,0.0,0.0,7.06,10.0,10.0,16.0,-1.0
1772707811.306797,1772707811.306797,0.0,MISSION,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707814.121516,-2814.91,PEER,3,28.3743276,77.0696894,4.223,-0.007,-0.0259,0.0002,13.0,0.1911,-6.6239,7.0032,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743404,77.0696188,4.589,0.0,0.0,0.0,7.0,4,False,True,0.0,0,True,1772707813.207,1772707814.022,0.0993,247,247,108,115,95,2,True,0,0.0,0.0,7.07,10.0,10.0,16.0,-1.0
1772707811.406927,1772707811.406927,0.0,MISSION,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707814.221716,-2814.91,PEER,4,28.3743276,77.0696894,4.215,-0.0205,-0.0047,0.0033,13.1,0.1893,-6.625,6.9951,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743404,77.0696188,4.594,0.0,0.0,0.0,7.0,4,False,True,0.0,0,True,1772707814.141,1772707814.142,0.08,247,247,108,115,95,2,True,0,0.0,0.0,7.07,10.0,10.0,16.0,-1.0
1772707811.506789,1772707811.506789,0.0,MISSION,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707811.463152,0.0,POSE,7,28.3743279,77.0696881,4.251,0.0229,-0.0346,-0.0282,13.7,0.0575,-6.5876,7.0313,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743404,77.0696189,4.525,0.0,-0.03,0.0,7.1,4,False,True,0.0,0,True,1772707811.182,1772707811.34,0.1233,247,248,102,116,94,2,True,0,0.0,0.0,6.925,10.0,10.0,10.0,-1.0
1772707811.609301,1772707811.609301,0.0,MISSION,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,0.0,0,False,0.0,0.0,-1.0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707814.421694,-2814.91,PEER,6,28.3743276,77.0696894,4.211,-0.0264,-0.0202,0.0078,13.1,0.1908,-6.6292,6.992,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743276,77.0696894,4.213,-0.02,0.0,0.0,13.1,4,False,True,0.0,0,True,1772707814.141,1772707814.402,0.0193,247,247,108,115,95,2,True,0,0.0,0.0,0.002,10.0,10.0,16.0,-1.0
1772707811.700854,1772707813.292615,-1591.77,PEER,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?,False,False,0,0.0,0.0,-1.0,1,28.3743276,77.0696894,4.242,0.01,0.0,-0.01,13.0,4,False,True,0.0,0,True,1772707812.54,1772707813.188,0.1046,248,248,109,113,93,2,True,0.0,0.0,0.0,0.0,0,0,0.0,0.0,IDLE,0,-1.0,0.0,0.0,0.0,0.0,1772707811.663342,0.0,POSE,9,28.3743279,77.0696883,4.245,0.0441,0.1442,-0.0059,13.6,0.0762,-6.5841,7.0259,GUIDED,False,True,5,0.0,0.0,-1.0,2,28.3743404,77.0696189,4.536,0.0,-0.02,0.0,7.1,4,False,True,0.0,0,True,1772707811.182,1772707811.6,0.0636,248,248,111,111,95,2,True,0,0.0,0.0,6.945,10.0,10.0,10.0,-1.0
