gcs_ts,local_ts,sync_off_ms,event,seq,lat,lon,rel_alt,vn,ve,vd,heading,local_x,local_y,local_z,fc_mode,fc_armed,fc_connected,fc_sys_status,batt_v,batt_a,batt_pct,peer_id,peer_lat,peer_lon,peer_alt,peer_vn,peer_ve,peer_vd,peer_hdg,peer_fc_mode,peer_armed,peer_fc_conn,peer_batt_v,peer_guid,peer_alive,peer_hb_ts,peer_stamp,peer_age_s,rssi,remrssi,noise,remnoise,txbuf,rxerrors,radio_alive,gcs_cmd,gcs_lat,gcs_lon,dist_m,hz_gps,hz_vel,hz_peer
1772707630.621638,1772707630.621638,0.00,PEER,1,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37433060,77.06960510,4.479,0.0000,0.0100,0.0000,7.2,0,False,True,0.00,0,True,1772707630.445,1772707630.594,0.0272,248,248,110,108,95,1,True,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772707630.721986,1772707630.721986,0.00,PEER,2,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37433060,77.06960520,4.478,0.0000,0.0100,0.0000,7.2,0,False,True,0.00,0,True,1772707630.445,1772707630.710,0.0118,248,248,110,108,95,1,True,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772707630.822019,1772707630.822019,0.00,PEER,3,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37433060,77.06960520,4.478,0.0000,0.0100,0.0000,7.2,0,False,True,0.00,0,True,1772707630.445,1772707630.710,0.1118,248,248,110,108,95,1,True,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772707630.921767,1772707630.921767,0.00,PEER,4,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37434600,77.06969500,4.114,0.0000,0.0100,0.0000,11.3,0,False,True,0.00,0,True,1772707630.445,1772707630.864,0.0582,248,248,110,108,95,1,True,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772707631.021713,1772707631.021713,0.00,PEER,5,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37434590,77.06969500,4.121,0.0000,0.0100,0.0000,11.2,0,False,True,0.00,0,True,1772707630.445,1772707630.979,0.0429,247,247,107,107,96,1,True,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772707631.121264,1772707631.121264,0.00,PEER,6,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37434590,77.06969500,4.121,0.0000,0.0100,0.0000,11.2,0,False,True,0.00,0,True,1772707630.445,1772707630.979,0.1424,247,247,107,107,96,1,True,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772707631.221426,1772707631.221426,0.00,PEER,7,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37434590,77.06969500,4.122,-0.0100,0.0000,0.0000,11.2,0,False,True,0.00,0,True,1772707630.445,1772707631.142,0.0790,247,247,107,107,96,1,True,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772707631.321652,1772707631.321652,0.00,PEER,8,0.00000000,0.00000000,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37433050,77.06960540,4.485,0.0000,0.0100,0.0000,7.2,0,False,True,0.00,0,True,1772707630.445,1772707631.248,0.0741,247,247,107,107,96,1,True,0,0.0000000,0.0000000,-1,0.0,0.0,0.0
1772707631.355131,1772707631.355131,0.00,GPS,1,28.37434590,77.06969500,0.000,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37433050,77.06960540,4.485,0.0000,0.0100,0.0000,7.2,0,False,True,0.00,0,True,1772707630.445,1772707631.248,0.1076,247,247,107,107,96,1,True,0,0.0000000,0.0000000,10.004,0.0,0.0,0.0
1772707631.357030,1772707631.357030,0.00,ALT,1,28.37434590,77.06969500,4.125,0.0000,0.0000,0.0000,0.0,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37433050,77.06960540,4.485,0.0000,0.0100,0.0000,7.2,0,False,True,0.00,0,True,1772707630.445,1772707631.248,0.1095,247,247,107,107,96,1,True,0,0.0000000,0.0000000,8.949,0.0,0.0,0.0
1772707631.357451,1772707631.357451,0.00,HDG,1,28.37434590,77.06969500,4.125,0.0000,0.0000,0.0000,11.1,0.0000,0.0000,0.0000,?,False,False,0,0.00,0.00,-1.000,2,28.37433050,77.06960540,4.485,0.0000,0.0100,0.0000,7.2,0,False,True,0.00,0,True,1772707630.445,1772707631.248,0.1099,247,247,107,107,96,1,True,0,0.0000000,0.0000000,8.949,0.0,0.0,0.0
